slang;formal
udah;sudah
gua;aku
ntar;nanti
be like;seperti
aja;saja
dah;sudah
anjir;anjing
begimana;bagaimana
online;daring
offline;luring
gpp;tidak apa
the;sebuah
struggle;perjuangan
is;adalah
real;nyata
okeh;oke
mak;ibu
tp;tapi
xpa;apa
yg;yang
faham;paham
gue;aku
korona;corona
labtop;laptop
sohib;rekat
gak;tidak
tak;tidak
gru;guru
klo;kalau
ksi;kasih
g;tidak
dgn;dengan
trs;terus
lgi;lagi
ny;nya
lgi;lagi
jdi;jadi
dobell;ganda
scroll;gulir
lo;kamu
nggak;tidak
byk;banyak
maksuf;maksud
responsive;responsif
good luck;beruntung
nih;ini
ad;ada
karna;karena
tsb;tersebut
njing;anjing
deadline;batas waktu
group;grup
parents;orang tua
ayolohhh;ayo
mamah;ibu
twt;twitter
akhibat;akibat
tu;itu
org;orang
saya;aku
pinjem;pinjam
ortu;orang tua
yookkk;ayo
cutiepie;sayang
mami;ibu
d;di
ngeblank;kosong
ibuk;ibu
lgsg;langsung
hadeeeh;aduh
memori;ingatan
anjim;anjing
plis;tolong
bund;ibu
listri;listrik
ottoke;bagaimana
ampe;sampai
kek;seperti
ga;tidak
bener;benar
amat;sekali
yak;ya
nanya;tanya
jgn;jangan
yuk;ayo
tdk;tidak
waduh;aduh
kalo;kalau
gamampu;tidak mampu
yauda;yasudah
my;punyaku
story;cerita
end;akhir
ajaa;saja
budget;biaya
exactly;tepat
gaada;tidak ada
gunanyaa;guna
onlen;daring
banget;sekali
alhamdulillah;alhamdulilah
bgt;sekali
gaperlu;tidak perlu
gaes;teman
dapet;dapat
hadu;aduh
gaess;teman
susar;susah
belamra;belajar
bagaiman;bagaimana
sm;sama
kaya;seperti
privacy;pribadi
yaudah;yasudah
orng;orang
pd;pada
udh;sudah
kl;kalau
ky;seperti
tim;grup
I did;aku
asik;asyik
mampis;mati
mampos;mati
mampus;mati
yu;ayo
dlu;dulu
baubau;bau
new;baru
pake;pakai
naruh;taruh
job;pekerjaan
kel;kelas
on;nyala
ni;ini
nk;ingin
share;bagi
math;matematika
sikit;sedikit
take;ambil
guys;teman
gengs;teman
girls;gadis
yuks;ayo
check;cek
ngabs;bagaimana
on;nyala
cam;kamera
buk;ibu
pengin;ingin
ngak;tidak
